X,Y,Z
-0.616236,-0.0171564,0.894637
0.462857,0.155143,0.69845
-0.562037,0.0984074,0.505931
0.466734,0.540113,0.167996
0.612493,0.383668,0.646727
-0.518493,0.193227,0.8102
0.104793,-0.0681342,0.832735
0.145529,0.501587,0.74265
0.0901683,0.344268,0.114604
-0.123825,0.371122,1.06837
0.0440371,0.552584,0.755912
0.116373,-0.00419392,-0.0622176
-0.0688138,0.436855,1.07002
0.321775,0.302786,0.711371
0.339888,0.703343,0.487526
-0.733978,0.191661,0.814937
0.620022,0.0888065,0.378024
-0.385626,0.135893,1.12116
-0.520976,-0.267059,0.52364
0.18883,0.105505,1.04005
0.00976758,-0.176312,1.22418
-0.00151946,0.0187707,1.24839
0.193327,0.349685,1.0378
-0.120996,-0.362197,0.889144
-0.338593,-0.176648,0.958444
0.446423,0.189924,0.836596
-0.299434,0.350359,0.163994
0.361346,-0.48213,0.833267
-0.0135199,0.509278,0.308867
-0.390957,0.443806,0.233391
-0.458241,-0.0174965,1.07433
-0.571217,0.425482,0.793537
-0.476297,0.593339,0.284008
0.29681,0.254277,1.07074
-0.213251,0.036118,1.16162
-0.331756,0.697722,0.269743
-0.0920371,0.191503,1.19554
-0.463468,-0.374038,0.742171
0.398927,0.0641761,1.08103
-0.577087,-0.028153,0.614671
0.115629,0.338655,1.16803
-0.291036,0.0786154,1.16201
0.0968807,0.217705,1.03223
0.693652,0.49855,0.286006
-0.147283,-0.343393,0.304711
-0.00932394,0.838738,0.193577
-0.0145974,0.297342,1.11797
-0.0506132,0.292012,-0.0230955
-0.593396,-0.243052,0.669854
-0.0165816,-0.486046,0.81119
0.428455,0.169811,0.903798
-0.200188,0.383455,1.00358
0.168562,0.744573,0.552522
0.0588212,0.631199,0.771672
-0.110365,0.533111,0.462806
-0.642961,-0.108402,0.857025
-0.695665,-0.270887,0.316697
-0.155323,0.132352,1.11517
0.0680356,-0.332889,1.08407
-0.483635,-0.235953,-0.0956926
-0.314278,0.701881,0.48913
0.148206,0.709532,0.845065
-0.732178,-0.145209,0.590924
0.779481,-0.0322937,0.622824
0.525348,-0.112872,0.127162
0.309953,0.196178,-0.0207496
-0.254192,0.476847,-0.301683
0.0698208,0.503343,-0.166333
0.205808,-0.253911,0.596906
-0.200308,0.556681,0.689967
0.599949,0.384919,0.780642
-0.47172,-0.175893,1.01501
0.0182811,-0.231887,1.06261
0.109223,-0.533966,0.801087
-0.212292,-0.218869,0.945741
0.0237966,0.246851,1.15899
0.417783,-0.0617514,1.06922
-0.386997,-0.132056,0.722459
0.432136,0.107198,0.79962
-0.181027,0.768289,0.127975
-0.0873233,-0.403156,0.0999194
0.236502,0.089478,1.19957
-0.0338413,0.382494,-0.00418715
-0.0135988,0.490726,0.865226
0.512228,-0.193345,0.501758
0.672664,-0.0216794,0.41615
0.32205,0.160552,0.698157
-0.620161,-0.137658,0.775863
-0.243842,0.739792,0.322914
0.449532,-0.00658811,0.911036
-0.335732,0.524927,0.892824
0.50588,0.147971,0.819806
0.117046,0.495402,0.734064
-0.289475,-0.126508,1.04992
0.458525,0.443096,0.917943
-0.105021,0.252323,-0.0752766
0.325987,0.678712,0.229845
0.643047,0.384355,0.838839
0.321316,0.261733,1.04063
0.0745537,0.250069,1.1939
0.738203,0.440663,0.42241
-0.659417,-0.352636,0.416227
0.313313,0.299589,0.832155
0.573734,-0.141034,0.292473
0.236832,-0.479811,0.44097
0.436345,-0.270605,0.92918
0.365566,0.752241,0.725681
-0.552052,0.193989,0.237299
-0.526552,0.149933,0.196251
-0.112777,-0.398854,0.661613
-0.168618,-0.222145,1.09357
0.512576,0.63219,0.60285
-0.461346,-0.617819,0.587541
-0.590747,0.356936,0.0311705
0.209931,0.162179,1.22304
-0.641914,0.0446812,-0.287082
-0.493525,-0.555338,0.882765
0.464955,0.119569,0.805162
0.0368149,0.365994,0.918289
-0.0803127,-0.536285,0.756174
-0.138455,-0.471486,0.036064
-0.653737,0.0974754,0.782724
0.232303,-0.0446804,0.948797
0.656008,-0.224342,0.490775
-0.605381,-0.0583435,0.818776
0.640049,0.361644,0.401494
-0.226014,0.137591,1.14565
-0.00276635,-0.415957,0.815836
0.281819,0.447919,0.988975
-0.158758,0.645664,0.34859
-0.169326,-0.364134,1.17207
-0.506221,-0.0601687,0.449261
-0.277579,0.562333,0.398074
0.153263,-0.0648338,0.794082
-0.108507,-0.129668,0.0436505
-0.117296,0.0752429,1.11547
0.780183,0.315315,0.185746
-0.494213,0.25695,-0.116402
-0.50384,-0.230974,0.754914
0.251508,0.712002,0.334158
0.587184,0.508883,0.290454
-0.467795,0.34457,0.79126
0.133053,0.670402,0.405358
-0.653372,0.104486,0.89763
-0.654466,0.514198,0.577055
-0.117421,-0.0903712,0.969467
-0.384242,0.410761,0.993009
-0.287524,-0.157081,1.13336
0.262519,0.517658,0.235282
-0.469358,-0.0138588,0.797386
-0.344277,0.665642,0.178618
-0.186458,0.809874,0.191789
0.134041,0.748847,0.0614179
0.518795,-0.160523,0.871905
0.0115277,0.33758,1.16997
-0.0437647,0.463832,0.888956
0.440581,0.172487,0.366464
-0.753431,-0.421447,0.624
-0.0352482,-0.483013,0.456603
0.0667586,0.823218,0.287234
-0.476913,-0.322738,0.78886
-0.315125,0.678384,0.342113
-0.700052,0.446462,0.719791
0.871943,0.029422,0.452854
0.0746245,-0.0462654,-0.132247
-0.186226,-0.36647,1.01424
-0.243345,0.530588,0.0558604
-0.00793123,-0.223295,1.0917
-0.344036,0.378581,1.10002
0.381298,0.696942,-0.0516999
0.50852,0.266869,0.964595
0.134194,-0.55546,0.872335
-0.155428,0.542638,0.704352
-0.089768,-0.391659,1.05051
0.624158,0.27737,0.878248
-0.216258,-0.325457,1.02463
-0.0982307,-0.0866683,1.15737
0.255816,-0.167679,0.745979
-0.15081,0.856155,0.540252
-0.0141019,-0.0720516,1.26129
-0.115408,0.782754,0.379567
-0.475503,-0.226662,0.97318
-0.220122,0.641661,0.733858
0.145897,0.028806,1.21062
-0.0666715,0.500527,0.101886
0.0911209,0.122166,1.21445
-0.186237,-0.313765,1.08167
-0.781783,0.228535,0.778225
-0.341716,0.341248,0.335918
-0.0953785,0.399805,0.919889
-0.667186,0.401542,0.759091
0.0605429,0.301571,1.05569
-0.194024,0.154444,1.06891
0.337912,0.270837,0.351558
0.356788,-0.0538453,1.11152
0.198861,0.526131,0.491968
0.382657,-0.216562,1.11127
0.467991,0.434933,0.892831
-0.45245,0.787156,0.319085
-0.0988626,-0.318429,0.855391
0.419601,0.0422827,0.889493
0.0975378,-0.381361,0.602355
-0.0457974,0.202765,1.18081
-0.19957,-0.452299,0.384145
-0.0725153,0.696551,0.615119
-0.156936,-0.548767,0.349027
-0.738533,-0.394073,0.415261
-0.295373,-0.0153283,0.981818
-0.363052,0.712522,0.76221
-0.512716,0.105316,0.946929
-0.037781,0.477056,1.05545
-0.299095,-0.0961411,1.20718
-0.0965345,0.0520204,1.18019
0.540411,-0.114278,0.488416
-0.240387,-0.0261866,1.14305
-0.325128,0.496529,0.899406
0.215796,0.601163,0.0825887
-0.258481,-0.194757,-0.121064
0.151464,-0.221578,0.951962
0.256186,0.411939,0.68484
0.627594,0.0702103,0.688434
0.243436,0.467894,-0.150125
-0.426738,-0.516435,-0.130445
0.00818078,-0.473703,1.11004
0.185514,-0.537489,0.902572
0.738644,0.267082,0.585689
-0.212749,0.553664,0.903645
-0.14542,0.0170993,1.08239
0.00861102,-0.398986,0.617927
-0.177322,0.659592,0.398627
-0.408189,0.131271,0.939422
-0.408323,-0.0846807,0.176199
0.491205,0.573584,0.0243882
0.241051,-0.269075,0.688036
-0.364883,-0.481235,0.00382387
-0.503584,0.58123,0.717787
0.0163737,-0.322149,0.797273
0.187939,0.461656,0.794832
0.140779,-0.343744,0.730326
0.0384698,0.70501,0.0712128
-0.643378,0.192825,0.814679
0.305969,0.0474385,0.485404
0.165859,0.509245,0.344004
-0.71202,0.15678,0.398696
-0.5361,-0.269974,0.192673
-0.445479,0.343766,0.702312
-0.119736,-0.223007,1.1516
0.164576,0.599491,0.777308
-0.573031,0.181967,0.674774
0.456981,0.517184,-0.159368
-0.715099,0.135642,0.489792
-0.105014,0.227444,-0.2195
0.48045,0.0884773,0.765907
-0.30923,0.597441,0.722711
-0.762912,-0.262405,0.318341
0.565635,0.38631,0.578721
0.257362,0.0803939,0.0992625
0.0267333,0.237807,1.07941
-0.552843,0.208004,0.839867
0.622265,0.379419,0.777603
0.213874,0.521285,0.961826
-0.581077,0.329037,0.901699
-0.61203,0.18802,0.711278
-0.267049,-0.235082,0.887402
-0.602342,0.481898,0.377347
-0.809568,-0.158299,0.630564
0.251135,0.80082,0.124733
-0.665002,-0.505386,0.673424
0.393517,0.374312,0.767677
-0.222312,-0.255433,1.13822
0.45104,0.356848,0.665086
0.0609993,0.213926,1.18384
0.379605,0.129968,1.15503
0.303418,0.641169,0.590554
0.364656,0.317865,1.11852
-0.681462,0.123711,0.65919
-0.0797802,0.565406,0.819686
0.494746,0.28695,0.297424
-0.214914,0.525271,0.556287
-0.0591489,-0.16742,1.20221
-0.360518,0.619266,0.406658
-0.158386,0.455329,0.446138
-0.581742,0.046782,0.558242
0.187392,0.395541,0.689466
0.722942,0.31078,0.283005
-0.139349,-0.467302,0.741118
-0.247626,0.720531,0.521976
0.370665,0.208331,0.0709793
0.234074,0.135266,1.21344
-0.314913,-0.524162,0.893477
0.525868,0.564664,0.36843
-0.370323,0.226767,1.15584
0.508667,0.13853,0.994823
0.411139,0.434493,0.971165
-0.00713956,0.129959,1.24493
0.181072,-0.28754,0.930232
0.22042,-0.37357,0.814056
0.49859,0.0119506,0.785521
-0.321676,-0.524256,0.666671
-0.495485,0.605513,0.514015
-0.358846,0.162718,1.06277
-0.136834,0.388586,1.0489
-0.436318,-0.172852,0.560455
0.0566824,0.499593,0.958917
0.456055,0.202058,1.06894
0.607931,0.620004,0.118564
-0.464073,0.205855,-0.0969684
0.114498,-0.286813,0.999089
0.288241,0.150693,0.797641
-0.727004,0.21899,0.385833
-0.423588,0.576433,0.22442
0.417817,0.19717,0.174096
-0.337734,0.458276,0.579926
-0.523843,-0.293914,0.683169
0.342745,-0.174655,0.86257
-0.694035,0.394035,0.492522
0.15507,0.499862,0.199993
-0.00479288,0.606367,1.02898
-0.318724,0.258241,1.06805
0.0126839,0.57214,0.787838
0.0403447,0.822014,0.216771
-0.616537,0.102691,0.744865
-0.525027,0.429976,0.828797
0.506786,0.14534,0.676774
0.0386224,-0.437288,0.953314
0.0519019,0.346523,1.12919
-0.175669,-0.333319,-0.0356806
0.384264,0.0255303,0.679376
0.120401,0.33941,1.15419
-0.197781,0.40615,1.0332
-0.0233186,0.0972712,1.17582
-0.153197,0.45858,1.01357
0.541207,0.0326543,1.0023
0.482384,-0.102746,0.184628
-0.656584,0.121933,0.914735
0.0223831,-0.499279,0.317518
-0.551606,0.16761,0.0769278
0.0791092,-0.151614,1.16455
-0.0284519,-0.538922,0.456476
0.437226,0.465725,0.800226
-0.584084,0.482461,0.762034
0.25061,0.462569,0.856316
0.0781368,-0.562843,0.50487
-0.803941,0.00927338,0.000806519
0.372788,0.0540741,1.02902
0.353192,0.732292,0.459541
0.0962908,0.653007,0.613833
0.737826,0.195423,0.6741
0.0966263,-0.176009,1.14564
-0.359873,0.444187,0.245316
-0.311322,-0.0103616,0.831404
-0.750735,-0.17854,0.384844
0.0765641,-0.00995277,0.8925
-0.565193,0.229571,0.639368
-0.341916,-0.182777,0.893232
0.683567,-0.0761508,0.78467
0.511547,-0.314073,0.781618
-0.465883,0.635435,0.784345
0.00141805,0.172757,0.73717
0.279338,-0.416554,0.57153
-0.330415,0.265986,1.08824
-0.428249,-0.124382,0.887015
0.260096,-0.140614,0.686059
0.444803,0.156988,1.00293
0.354204,-0.0490465,0.923111
