j1,j2,j3,j4,j5,j6,j7,
0.161369,-0.265037,-1.94953,-1.64218,0.350949,-0.930621,1.53973,
0.20763,-0.284944,-1.98236,-1.62142,0.339625,-0.950186,1.51948,
0.25389,-0.30485,-2.01519,-1.60067,0.328301,-0.969751,1.49923,
0.300151,-0.324757,-2.04802,-1.57991,0.316977,-0.989316,1.47898,
0.346412,-0.344663,-2.08086,-1.55915,0.305653,-1.00888,1.45874,
0.392673,-0.36457,-2.11369,-1.5384,0.294329,-1.02844,1.43849,
0.438933,-0.384476,-2.14652,-1.51764,0.283004,-1.04801,1.41824,
0.475026,-0.402847,-2.1675,-1.4991,0.242713,-1.09093,1.42221,
0.51112,-0.421217,-2.18847,-1.48057,0.202422,-1.13384,1.42618,
0.547213,-0.439588,-2.20945,-1.46203,0.16213,-1.17676,1.43015,
0.583306,-0.457958,-2.23043,-1.44349,0.121839,-1.21968,1.43412,
0.619399,-0.476329,-2.2514,-1.42495,0.0815473,-1.2626,1.43808,
0.655492,-0.494699,-2.27238,-1.40641,0.0412558,-1.30552,1.44205,
0.691585,-0.513069,-2.29336,-1.38787,0.000964387,-1.34843,1.44602,
0.727678,-0.53144,-2.31433,-1.36933,-0.0393271,-1.39135,1.44999,
0.763771,-0.54981,-2.33531,-1.35079,-0.0796185,-1.43427,1.45396,
0.799865,-0.568181,-2.35628,-1.33225,-0.11991,-1.47719,1.45793,
0.835958,-0.586551,-2.37726,-1.31372,-0.160201,-1.5201,1.4619,
0.872051,-0.604921,-2.39824,-1.29518,-0.200493,-1.56302,1.46587,
0.908144,-0.623292,-2.41921,-1.27664,-0.240784,-1.60594,1.46984,
0.944237,-0.641662,-2.44019,-1.2581,-0.281076,-1.64886,1.47381,
0.98033,-0.660033,-2.46117,-1.23956,-0.321367,-1.69177,1.47777,
1.01642,-0.678403,-2.48214,-1.22102,-0.361659,-1.73469,1.48174,
1.05252,-0.696774,-2.50312,-1.20248,-0.40195,-1.77761,1.48571,
